id,views,mean_rating,bayesian_rating,ratings,follows,manga_comments,chapter_comments,title
125,48000,9.25,8.81,158,3001,18,52,Gunslinger Girl
126,47000,9.29,8.98,268,2338,14,59,Kyou kara Ore wa!!
127,17425,5.88,7.09,59,1267,0,0,Soul Eater Not!
129,39431,8.37,8.15,68,1203,2,15,GetBackers
131,231250,8.71,8.52,235,9758,80,495,Yumekui Merry
132,11974,6.56,7.58,32,738,3,3,Pika Ichi
133,20631,8.14,8.08,173,1661,2,38,Strobe Edge
134,8538,7.18,7.73,34,535,0,0,en&iacute;gm\\u04d9
136,11734,7.52,7.74,83,838,7,3,Past Future
137,10680,7.83,7.93,18,549,1,1,Dear
138,12494,7.11,7.75,28,398,2,1,Boku Kara Kimi ga Kienai
140,24439,8.5,8.26,98,1503,5,9,Usotsuki Lily
142,53195,8.71,8.49,188,3222,6,19,Tsubasa -RESERVoir CHRoNiCLE-
143,16284,7.54,7.83,39,592,11,55,Welcome To Room #305!
144,6536,7.8,7.95,10,263,2,1,Angel\'s Doubt
145,12704,8.07,7.99,27,402,3,21,Smash!
146,131180,8.55,8.47,545,7763,12,39,Soul Eater
147,16813,6.45,7.67,20,506,5,13,Let\'s Fight Ghost
148,22727,6.64,7.31,78,1270,6,7,Destroy and Revolution
150,10594,7.49,7.76,63,371,1,0,Chuchun ga Chun
151,248410,9.0,8.81,362,7703,82,833,Bokura no Kiseki
152,36158,9.06,8.29,34,1426,9,14,Kimi to Boku.
153,850366,9.13,9.03,820,10246,92,1392,Detective Conan
154,124511,8.9,8.83,1012,9180,39,456,The Breaker - New Waves
155,49742,8.53,8.33,146,2104,6,7,GTO Shonan 14 days
156,10004,7.06,7.82,16,379,1,0,Lucky\\u2606Star - Comic &agrave; la Carte
159,38558,8.47,8.33,198,2208,10,28,Welcome to the NHK
160,211842,7.9,7.92,162,5229,37,553,Saki
163,17603,7.23,7.6,83,1882,2,6,Countrouble
164,32147,9.23,8.68,107,2043,17,22,Soredemo Machi wa Mawatteiru
165,17144,6.0,7.62,17,720,8,2,Mahou Senki Lyrical Nanoha Force
166,31737,7.79,7.88,70,1039,4,12,Kenkoo Zenrakei Suieibu Umishou
168,3601,7.44,7.88,16,213,2,10,Papillon - Hana to Chou
169,14571,7.67,7.84,67,596,12,8,Gunjo
170,15356,8.83,8.41,84,1007,10,5,Soil
171,13759,7.22,7.83,18,425,9,5,Paranoia Street
173,5810,5.85,7.67,13,327,1,1,White Album
175,10094,8.46,8.09,28,716,4,0,Absolute Witch
176,17388,7.08,7.64,48,949,3,27,Monster Hunter Orage
178,33966,7.65,7.76,162,1736,9,7,Hetakoi
179,18641,9.34,8.38,35,715,15,7,Sketchbook
181,34696,8.76,8.38,91,2047,10,19,Id - The Greatest Fusion Fantasy
182,102522,7.16,7.35,271,5435,30,28,Rotte no Omocha!
183,46198,8.78,8.32,64,2691,7,21,Shinrei Tantei Yakumo
184,35676,8.78,8.42,101,1613,4,35,Ushio to Tora
185,8326,7.94,7.96,16,270,0,0,Hareluya II Boy
186,34387,8.4,8.1,35,758,5,6,Sakigake!! Otokojuku
187,47312,8.32,8.09,44,1590,9,32,Hayate x Blade
188,86115,9.33,9.04,306,5028,17,74,Nichijou
190,54375,7.88,7.89,386,2792,27,89,Koharu no Hibi
191,26262,8.45,8.25,110,1397,11,27,Kimi no Knife
192,139270,8.72,8.63,581,8115,28,98,Rosario to Vampire Season II
195,8819,7.71,7.89,38,896,2,0,Tripeace
197,30351,8.49,8.31,154,1929,7,1,Magico
198,77162,8.81,8.6,236,3875,16,13,Bartender
199,17784,8.32,8.16,97,777,5,7,Aishiteruze Baby\\u2605\\u2605
200,67998,8.61,8.49,349,4080,36,13,Mx0
201,6974,8.0,7.97,10,328,2,0,Kagetora
202,97446,8.93,8.54,121,3001,19,102,RAINBOW
204,15784,8.11,8.05,109,1145,10,21,Kore wa Koi no Hanashi
205,15278,7.93,7.96,44,827,1,0,Barajou no Kiss
206,10726,8.3,8.0,10,373,3,0,Dark Mage
207,8768,8.78,8.22,32,343,6,0,Kiss Wood
208,23062,8.09,8.01,46,1606,9,2,Magician
209,39391,5.97,7.37,30,1051,6,3,Ziggurat
210,225831,8.82,8.74,847,10072,46,308,Nana to Kaoru
213,79224,8.37,8.31,433,5429,33,80,Nazo no Kanojo X
216,70971,8.93,8.74,319,4399,19,23,Rurouni Kenshin
217,5858,8.03,7.99,36,371,3,1,Stalker
218,41166,8.69,8.52,276,3412,12,22,Kuragehime
219,108283,7.71,7.74,631,9330,16,31,Akame ga KILL!
220,12713,7.75,7.9,36,591,2,2,Wa!
222,146345,9.22,9.15,1441,8909,38,93,Hoshi no Samidare
223,13777,7.75,7.93,12,862,4,11,Hell Teacher Nube
224,9812,7.93,7.95,28,726,4,0,Legend of the Sun Knight
227,32839,7.49,7.75,67,1712,12,46,Akuma to Love Song
228,15756,6.92,7.83,12,559,6,1,Hanaukyo Maid Tai
234,13128,7.32,7.71,53,716,1,5,Torikagosou no Kyou mo Nemutai Juunintachi
235,24486,7.44,7.75,57,1723,6,3,Kanokon
237,37017,7.93,7.96,29,1350,5,1,Kaitai Shinsho &Oslash;
239,22190,7.74,7.88,50,1582,6,1,Mismarca Koukoku Monogatari
240,33368,7.5,7.7,112,1309,11,17,Ichinensei ni Nacchattara
