id,views,mean_rating,bayesian_rating,ratings,follows,manga_comments,chapter_comments
1,859275,8.93,8.89,1865,25274,106,1142
2,11561,7.83,7.93,29,628,9,86
4,99135,8.66,8.59,720,8179,19,147
5,207552,7.93,7.94,1180,9066,27,50
6,137203,8.53,8.46,549,7138,28,116
7,151025,8.83,8.77,1173,11147,58,250
8,77599,8.6,8.52,567,5602,19,62
9,89566,7.84,7.86,379,4782,13,50
10,94465,7.44,7.55,335,4017,16,62
11,76123,8.35,8.27,286,5529,8,7
12,29327,6.91,7.6,43,1842,16,1
13,11449,6.92,7.75,12,177,0,4
14,14742,8.12,8.03,49,770,3,14
15,9849,8.44,8.1,32,831,2,0
16,18385,6.43,7.62,23,397,3,1
17,60764,8.18,8.13,299,4721,10,35
18,79933,8.89,8.8,762,4933,40,41
21,16641,7.91,7.93,136,780,13,10
22,61621,8.01,8.0,264,2997,25,19
23,30793,8.14,8.09,201,1901,13,9
25,80111,8.68,8.39,122,2751,17,44
28,48021,7.27,7.58,106,3157,6,7
29,114493,7.56,7.62,466,5416,35,168
30,99932,8.73,8.61,419,6589,19,33
31,6058,7.89,7.95,10,257,2,1
33,11918,8.22,8.07,55,861,7,4
34,90562,7.24,7.35,458,5793,35,211
35,201958,7.7,7.72,1079,9736,35,124
37,8327,7.65,7.91,20,850,3,0
39,2440526,9.32,9.31,5921,53412,212,113
40,53776,7.48,7.73,77,2754,19,28
41,25381,7.81,7.88,108,1365,21,14
42,132005,8.84,8.62,247,6113,50,68
43,317267,6.22,6.62,282,8393,48,158
44,290170,8.68,8.58,490,13230,84,310
45,18007,8.97,8.62,157,1814,11,5
46,302232,8.65,8.51,323,12642,70,425
47,204459,7.8,7.81,2168,9484,474,0
49,120602,8.38,8.32,540,6836,18,256
50,10099,7.49,7.79,43,599,1,0
51,182134,8.29,8.24,477,7706,29,29
52,46918,7.36,7.57,159,2926,5,6
54,100229,4.78,6.18,105,4500,15,46
56,22493,8.12,8.06,125,1600,11,28
57,21729,7.25,7.66,59,1225,5,5
58,8357,7.0,7.82,14,535,1,0
60,22443,6.46,7.76,13,737,5,0
61,177412,8.53,8.41,312,9303,75,441
62,27894,8.97,8.63,156,1379,7,152
63,83830,8.78,8.7,682,6178,8,141
65,138636,8.91,8.85,1253,11304,15,176
66,88848,6.55,7.36,62,2982,10,28
67,13042,6.28,7.35,47,972,1,1
68,6794,6.62,7.63,26,349,2,2
70,24319,7.32,7.63,90,1529,9,5
71,26888,6.81,7.61,36,600,5,5
72,5707,8.13,7.99,16,213,0,0
73,9821,6.74,7.69,23,378,1,2
74,48626,7.68,7.76,203,2749,10,30
75,11825,8.06,7.99,33,981,1,0
76,10932,7.2,7.88,10,573,1,0
77,23247,6.27,7.33,49,1394,11,10
78,12078,8.15,8.05,72,617,2,0
79,45812,9.03,8.61,122,1695,13,51
80,85104,8.23,8.19,465,5839,17,50
82,95639,8.72,8.64,702,5917,13,81
83,24503,6.75,7.54,44,1474,9,6
84,73312,7.92,7.92,531,5455,17,21
85,22063,8.53,8.29,108,1465,4,21
86,40307,7.71,7.79,199,2499,11,6
88,15471,8.52,8.1,27,497,7,11
89,6990,6.33,7.67,18,404,2,0
90,16059,6.85,7.74,20,697,7,6
91,25697,8.67,8.11,21,1285,3,0
92,21633,6.81,7.49,59,1058,3,4
93,19104,8.16,8.05,55,1608,8,5
94,437211,9.23,9.15,1107,11051,109,487
96,15225,7.97,7.97,60,916,6,8
98,16147,8.22,8.11,116,1291,8,3
99,19887,6.91,7.35,117,2133,11,4
100,153880,9.01,8.98,2225,10000,127,282
101,62701,8.05,8.0,60,2036,18,11
102,55902,7.95,7.95,186,2886,16,16
104,63116,8.73,8.58,334,3990,17,133
105,98420,7.39,7.55,206,4093,9,6
106,44964,8.6,8.5,453,3579,12,1
107,87952,8.45,8.36,382,4025,9,35
109,95511,8.44,8.37,414,4584,14,45
110,26757,8.26,8.18,225,1713,19,30
111,26677,8.81,8.43,99,1391,9,2
112,19254,8.71,8.23,45,917,6,29
113,124191,9.05,8.97,1024,8862,26,72
114,56134,8.77,8.61,333,4031,8,27
115,11071,7.26,7.72,42,638,4,2
116,73799,8.05,8.04,511,6630,18,41
117,56594,8.69,8.61,708,4006,22,23
118,7553,7.1,7.79,21,289,0,0
120,31817,8.05,7.99,39,1747,5,0
121,103367,8.6,8.51,464,6741,16,161
122,59952,7.76,7.84,123,2173,6,16
123,16304,7.18,7.8,22,512,1,0
124,12144,6.25,7.68,16,303,1,0
125,48000,9.25,8.81,158,3001,18,52
126,47000,9.29,8.98,268,2338,14,59
127,17425,5.88,7.09,59,1267,0,0
129,39431,8.37,8.15,68,1203,2,15
131,231250,8.71,8.52,235,9758,80,495
132,11974,6.56,7.58,32,738,3,3
133,20631,8.14,8.08,173,1661,2,38
134,8538,7.18,7.73,34,535,0,0
136,11734,7.52,7.74,83,838,7,3
137,10680,7.83,7.93,18,549,1,1
138,12494,7.11,7.75,28,398,2,1
140,24439,8.5,8.26,98,1503,5,9
142,53195,8.71,8.49,188,3222,6,19
143,16284,7.54,7.83,39,592,11,55
144,6536,7.8,7.95,10,263,2,1
145,12704,8.07,7.99,27,402,3,21
146,131180,8.55,8.47,545,7763,12,39
147,16813,6.45,7.67,20,506,5,13
148,22727,6.64,7.31,78,1270,6,7
150,10594,7.49,7.76,63,371,1,0
151,248410,9.0,8.81,362,7703,82,833
152,36158,9.06,8.29,34,1426,9,14
153,850366,9.13,9.03,820,10246,92,1392
154,124511,8.9,8.83,1012,9180,39,456
155,49742,8.53,8.33,146,2104,6,7
156,10004,7.06,7.82,16,379,1,0
159,38558,8.47,8.33,198,2208,10,28
160,211842,7.9,7.92,162,5229,37,553
163,17603,7.23,7.6,83,1882,2,6
164,32147,9.23,8.68,107,2043,17,22
165,17144,6.0,7.62,17,720,8,2
166,31737,7.79,7.88,70,1039,4,12
168,3601,7.44,7.88,16,213,2,10
169,14571,7.67,7.84,67,596,12,8
170,15356,8.83,8.41,84,1007,10,5
171,13759,7.22,7.83,18,425,9,5
173,5810,5.85,7.67,13,327,1,1
175,10094,8.46,8.09,28,716,4,0
176,17388,7.08,7.64,48,949,3,27
178,33966,7.65,7.76,162,1736,9,7
179,18641,9.34,8.38,35,715,15,7
181,34696,8.76,8.38,91,2047,10,19
182,102522,7.16,7.35,271,5435,30,28
183,46198,8.78,8.32,64,2691,7,21
184,35676,8.78,8.42,101,1613,4,35
185,8326,7.94,7.96,16,270,0,0
186,34387,8.4,8.1,35,758,5,6
187,47312,8.32,8.09,44,1590,9,32
188,86115,9.33,9.04,306,5028,17,74
190,54375,7.88,7.89,386,2792,27,89
191,26262,8.45,8.25,110,1397,11,27
192,139270,8.72,8.63,581,8115,28,98
195,8819,7.71,7.89,38,896,2,0
197,30351,8.49,8.31,154,1929,7,1
198,77162,8.81,8.6,236,3875,16,13
199,17784,8.32,8.16,97,777,5,7
200,67998,8.61,8.49,349,4080,36,13
201,6974,8.0,7.97,10,328,2,0
202,97446,8.93,8.54,121,3001,19,102
204,15784,8.11,8.05,109,1145,10,21
205,15278,7.93,7.96,44,827,1,0
206,10726,8.3,8.0,10,373,3,0
207,8768,8.78,8.22,32,343,6,0
208,23062,8.09,8.01,46,1606,9,2
209,39391,5.97,7.37,30,1051,6,3
210,225831,8.82,8.74,847,10072,46,308
213,79224,8.37,8.31,433,5429,33,80
216,70971,8.93,8.74,319,4399,19,23
217,5858,8.03,7.99,36,371,3,1
218,41166,8.69,8.52,276,3412,12,22
219,108283,7.71,7.74,631,9330,16,31
220,12713,7.75,7.9,36,591,2,2
222,146345,9.22,9.15,1441,8909,38,93
223,13777,7.75,7.93,12,862,4,11
224,9812,7.93,7.95,28,726,4,0
227,32839,7.49,7.75,67,1712,12,46
228,15756,6.92,7.83,12,559,6,1
234,13128,7.32,7.71,53,716,1,5
235,24486,7.44,7.75,57,1723,6,3
237,37017,7.93,7.96,29,1350,5,1
239,22190,7.74,7.88,50,1582,6,1
240,33368,7.5,7.7,112,1309,11,17
241,35895,7.01,7.4,119,1423,9,4
242,37117,6.23,7.5,30,1944,7,16
243,111054,8.85,8.69,388,4777,21,57
244,28999,7.32,7.8,28,1659,11,2
247,127891,8.84,8.6,215,6285,23,45
250,7582,8.16,8.03,38,541,0,4
251,18303,6.79,7.12,211,1371,15,5
253,370638,8.26,8.2,321,15696,73,113
256,28526,6.27,7.76,11,813,3,1
257,30661,6.21,7.15,72,1698,12,9
258,41622,7.7,7.8,155,3029,9,8
262,82198,6.7,7.05,214,4750,12,16
263,46357,7.21,7.54,106,2677,6,4
264,4223,8.0,7.97,20,283,1,5
265,11773,7.75,7.93,12,411,8,1
266,94398,8.23,8.18,382,4251,26,58
267,42780,6.48,7.54,33,1226,3,0
268,247467,7.88,7.9,306,7352,111,309
269,73051,8.16,8.12,291,3202,40,10
270,16517,7.6,7.83,50,910,3,5
271,56040,6.33,7.13,87,1719,6,2
